username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
genius_rahul,2016-12-30 02:03,0,0,@RealArnabG Aaj se comedy nights with Rahul Gandhi start,,@RealArnabG,,8.14570110664917E+017,https://twitter.com/genius_rahul/status/814570110664916993,,
GourabMondalSun,2016-12-30 01:56,4,7,WHERE is #RahulGandhi & His SECULAR #CONGRESS -when #HINDU 's Houses & Shops Were LOOTED & BURNED in Bengal?? @AsYouNotWish @anti_conversion pic.twitter.com/7x8Yn3ayJI,,@AsYouNotWish @anti_conversion,#RahulGandhi #CONGRESS #HINDU,8.14568294703387E+017,https://twitter.com/GourabMondalSun/status/814568294703386624,,
yoge_sh,2016-12-30 01:55,0,0,@firstpost also could gain if they prove Rahul Gandhi isn't as stupid as he seems to be!,,@firstpost,,8.14568120245453E+017,https://twitter.com/yoge_sh/status/814568120245452800,,
YuvSingh99,2016-12-30 01:52,0,0,#RGDemands I just want to say #RahulGandhi ji pic.twitter.com/lEherfPvL2,,,#RGDemands #RahulGandhi,8.14567207334244E+017,https://twitter.com/YuvSingh99/status/814567207334244354,,
vikrantazaad,2016-12-30 01:49,0,0,@ravishndtv @RahulGandhi _G @RajaBrar_INC @amitjogi @SachinPilot @JM_Scindia ..PM modi advertising for china.. pic.twitter.com/4YhY71i31P,,@ravishndtv @RahulGandhi @RajaBrar_INC @amitjogi @SachinPilot @JM_Scindia,,8.1456658266805E+017,https://twitter.com/vikrantazaad/status/814566582668050432,,
syamrajk,2016-12-30 01:47,0,0,@KuVora @sanjaynirupam Would be the Tattoos that they got during previous regime of MMS #RGDemands #RahulGandhi,,@KuVora @sanjaynirupam,#RGDemands #RahulGandhi,8.14566014302245E+017,https://twitter.com/syamrajk/status/814566014302244865,,
naman98gupta,2016-12-30 01:43,0,1,@Inshal07 @OfficeOfRG why would he answer personally?????is Rahul gandhi bigger celebrity than a common man????,,@Inshal07 @OfficeOfRG,,8.14565113977942E+017,https://twitter.com/naman98gupta/status/814565113977942016,,
iamjigarthakur,2016-12-30 01:43,0,0,Rahul gandhi confusingly asks soniya gandhi :-mein kya modi jaisa lagta hu ... jaha jaata hu log modi modi chilatein hai #RGDemands,,,#RGDemands,8.14565065202536E+017,https://twitter.com/iamjigarthakur/status/814565065202536448,,
parthprasad99,2016-12-30 01:39,0,0,@Neyandar Give him time shitload! Whom would we have elected else? Rahul Gandhi ? That character like you?,,@Neyandar,,8.14563975505605E+017,https://twitter.com/parthprasad99/status/814563975505604609,,
yoge_sh,2016-12-30 01:34,0,0,@BDUTT @yadavakhilesh @OfficeOfRG dats a gud question.Real question:how many will stand with #RahulGandhi ? @yadavakhilesh is taller leader!,,@BDUTT @yadavakhilesh @OfficeOfRG @yadavakhilesh,#RahulGandhi,8.14562706246238E+017,https://twitter.com/yoge_sh/status/814562706246238208,,
The_KingOnion,2016-12-30 01:33,4,6,And You're Rahul Gandhi of Twitter.... https:// twitter.com/CrazyThakare/s tatus/810330561034104832 …,,,,8.14562480198484E+017,https://twitter.com/The_KingOnion/status/814562480198483969,,
MrMonster_Said,2016-12-30 01:32,0,1,@Dhara_says I'm Rahul Gandhi,,@Dhara_says,,8.14562222047461E+017,https://twitter.com/MrMonster_Said/status/814562222047461382,,
ilikeshock,2016-12-30 01:31,0,0,Do we really need to take Rahul Gandhi seriously? #RGDemands #आप_की_औकात #Rohan #Welcome2017AtTheLalit #PartyTohBantiHai,,,#RGDemands # #Rohan #Welcome2017AtTheLalit #PartyTohBantiHai,8.14561963984331E+017,https://twitter.com/ilikeshock/status/814561963984330752,,
khanaashiq111,2016-12-30 01:28,0,0,"Twitterati goes to town captioning this Rahul Gandhi , Mamata Banerjee photo and it's hilarious!... https://www. newswallet.co/twitterati_goe s_to_town_captioning_this_rahul_gandhi__mamata_banerjee_photo_and_it_s_hilarious_-2016273231228 …",,,,8.14561301615649E+017,https://twitter.com/khanaashiq111/status/814561301615648768,,
hmcgindia,2016-12-30 01:25,0,0,"Rahul Gandhi puts forward charter of demands on note ban, demands answers from PM Modi http:// fb.me/A8xhrcsz",,,,8.14560581151666E+017,https://twitter.com/hmcgindia/status/814560581151666176,,
manujanshu,2016-12-30 01:24,0,0,@PTI_News this is as vague as Rahul Gandhi in Bournvita quiz contest. Makes no sense. @quizderek,,@PTI_News @quizderek,,8.14560247377367E+017,https://twitter.com/manujanshu/status/814560247377367040,,
gurudaskunder,2016-12-30 01:18,0,0,"@AnupamPkher - If they open their package, it would be nothing but garbage inside like Rahul Gandhi .",,@AnupamPkher,,8.14558713331745E+017,https://twitter.com/gurudaskunder/status/814558713331744768,,
ramchandani2000,2016-12-30 01:18,1,0,BREAKING NEWS: #RahulGandhi MEETS @sonia_gandhi,,@sonia_gandhi,#RahulGandhi,8.1455862414413E+017,https://twitter.com/ramchandani2000/status/814558624144130048,,
abhipallav_m,2016-12-30 01:16,0,0,@TolerantMallu she is a Rahul Gandhi fan girl. Y u even having a debate with her @hiindustanii @Pavan_Joshi_RW,,@TolerantMallu @hiindustanii @Pavan_Joshi_RW,,8.1455834142704E+017,https://twitter.com/abhipallav_m/status/814558341427040261,,
Ranu0707,2016-12-30 01:13,0,0,Breaking news-How Modi Jee Insults Sonia Gandhi and Rahul Gandhi -Part1 https:// youtu.be/RbchxrMKw20 via @YouTube,,@YouTube,,8.14557559906369E+017,https://twitter.com/Ranu0707/status/814557559906369536,,
ShravanSaxena,2016-12-30 01:10,0,0,"THEN IS CALLED AS(ACCording to writer) THE LACK OF GETTING #BELIEF BY YOUR SUPPORTERS!! or writer said about mr. rahul gandhi g,dat IN HIM,TH",,,#BELIEF,8.14556793707889E+017,https://twitter.com/ShravanSaxena/status/814556793707888640,,
ShravanSaxena,2016-12-30 01:09,0,0,"IF IN BEING THE LEADER OF OPPOSITION the son of former prime minister of india or rahul gandhi g can or which 1ST AND SO RARE PROBLEM COMES,",,,,8.14556557778309E+017,https://twitter.com/ShravanSaxena/status/814556557778309120,,
Vimmi007,2016-12-30 01:09,0,0,If #RahulGandhi would have 10℅ calibre as #AkhileshYadav we wud have a btr opposition at centre. #welldone #236Candidates,,,#RahulGandhi #AkhileshYadav #welldone #236Candidates,8.14556413150294E+017,https://twitter.com/Vimmi007/status/814556413150294016,,
ShravanSaxena,2016-12-30 01:08,0,0,"then three names mainly had been mentioned by the writer as no.1 as mr. rahul gandhi g.....but about his,the writer wrote,that HE OR IF IN BE",,,,8.14556296343122E+017,https://twitter.com/ShravanSaxena/status/814556296343121921,,
myvotetoday,2016-12-30 01:08,3,13,Every Congressmen & sympathiser of party believes #RahulGandhi is prime ministerial candidate of 2019 elections? Your choice? #RGDemands pic.twitter.com/U0bbUKP4g9,,,#RahulGandhi #RGDemands,8.14556100502532E+017,https://twitter.com/myvotetoday/status/814556100502532097,,
_ashim__,2016-12-30 01:07,0,0,"#RGDemands GENERAL Knowledge, because here is a tiny SAMPLE of Rahul Gandhi 's GK. Relax & Njoyy https://www. youtube.com/watch?v=CKW1Wr 59Pkk …",,,#RGDemands,8.14555857199448E+017,https://twitter.com/_ashim__/status/814555857199448065,,
KuVora,2016-12-30 01:06,0,0,And we thought only the leader was a fool! @sanjaynirupam #RGDemands #RahulGandhi pic.twitter.com/Xp6fpMTi4V,,@sanjaynirupam,#RGDemands #RahulGandhi,8.14555815038226E+017,https://twitter.com/KuVora/status/814555815038226432,,
gkrajvanshi,2016-12-30 01:06,0,0,Jay Rahul Gandhi - 70 saal se Rajniti me vishvniya sirf ek naam... Tiranga Jhanda Aur Haath Nisaan......Jai Hind https:// twitter.com/nsui/status/81 4511347626954753 …,,,,8.14555678589059E+017,https://twitter.com/gkrajvanshi/status/814555678589059072,,
paree7dec,2016-12-30 01:04,0,1,@Jangid @sagarcasm That's how democratic the congress is ! It's just a big laboratory for RaGa to play out his dumb ideas #RahulGandhi,,@Jangid @sagarcasm,#RahulGandhi,8.14555165961269E+017,https://twitter.com/paree7dec/status/814555165961269249,,
PriteshShah14,2016-12-30 01:02,0,0,@Babu_Bhaiyaa this time Rahul Gandhi won't be worried if this happens,,@Babu_Bhaiyaa,,8.14554814923284E+017,https://twitter.com/PriteshShah14/status/814554814923284480,,
hadolesagar5,2016-12-30 01:00,1,0,hilarious animated video ft. #DonaldTrump #Putin #SoniaGandhi #Rahul Gandhi #NarendraModi https:// youtu.be/Nd3gx4D1BQ8 via @YouTube,,@YouTube,#DonaldTrump #Putin #SoniaGandhi #Rahul #NarendraModi,8.1455417593371E+017,https://twitter.com/hadolesagar5/status/814554175933710340,,
Ajeetku14564644,2016-12-30 00:59,0,1,Rahul gandhi &Arvind kejariwal W B ke dhula garh ka daura Kyo nahi karte hai,,,,8.14554051308294E+017,https://twitter.com/Ajeetku14564644/status/814554051308294144,,
gkrajvanshi,2016-12-30 00:57,0,0,@iNeelesh Gandhi Vicharo ki Aandhi- Naam Rahul Gandhi h..,,@iNeelesh,,8.14553478722789E+017,https://twitter.com/gkrajvanshi/status/814553478722789376,,
myvotetoday,2016-12-30 00:52,4,9,Competition between #Kejriwal & #RahulGandhi to show who's a bigger anti- #Modi leader? Both aim to be PM in 2019? #RGDemands #आप_की_औकात pic.twitter.com/3vWqaqCKkL,,,#Kejriwal #RahulGandhi #Modi #RGDemands #,8.14552184251527E+017,https://twitter.com/myvotetoday/status/814552184251527168,,
siddha9,2016-12-30 00:50,1,0,"राहुल गांधी का वादा, आलू की फैक्ट्री लगवाएंगे! http:// newsloose.com/2016/10/01/rah ul-gandhi-has-promised-to-put-potato-factory/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #potato #rahulgandhi",,,#potato #rahulgandhi,8.14551687516066E+017,https://twitter.com/siddha9/status/814551687516065792,,
NetCatNews,2016-12-30 00:49,0,0,#news #summary : the #day #narendra #modi finally acknowledged #bjp 's biggest asset: #rahul #gandhi pic.twitter.com/VpxxjMA7qf,,,#news #summary #day #narendra #modi #bjp #rahul #gandhi,8.14551522512175E+017,https://twitter.com/NetCatNews/status/814551522512175105,,
uttamsi44155926,2016-12-30 00:49,0,0,Sh. Rahul Gandhi asked 5 questions on behalf of the people of this country.We demand PM to answer & immediately break his silence #RGDemands pic.twitter.com/ayvbrUFHEj,,,#RGDemands,8.14551387212251E+017,https://twitter.com/uttamsi44155926/status/814551387212251136,,
uttamsi44155926,2016-12-30 00:47,0,0,Sh. Rahul Gandhi asked 5 questions on behalf of the people of this country.We demand PM to answer & immediately break his silence #RGDemands pic.twitter.com/GJTGpUtFgg,,,#RGDemands,8.14550850374922E+017,https://twitter.com/uttamsi44155926/status/814550850374922240,,
Shaancis,2016-12-30 00:45,0,0,@INCIndia yeh jaan congressi hai..mera khoon me congresss hai..i totally support rahul gandhi ..and sonia mam,,@INCIndia,,8.14550328511054E+017,https://twitter.com/Shaancis/status/814550328511053824,,
paree7dec,2016-12-30 00:43,0,0,@rishibagree Stop making fun of RaGa! He is just completing Gandhiji's dream - dismantle the Congress party #RahulGandhi,,@rishibagree,#RahulGandhi,8.14549984771076E+017,https://twitter.com/paree7dec/status/814549984771076096,,
AditiTwt,2016-12-30 00:41,0,0,"राहुल गांधी का वादा, आलू की फैक्ट्री लगवाएंगे! http:// newsloose.com/2016/10/01/rah ul-gandhi-has-promised-to-put-potato-factory/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #potato #rahulgandhi",,,#potato #rahulgandhi,8.14549408004133E+017,https://twitter.com/AditiTwt/status/814549408004132864,,
DrBZaman,2016-12-30 00:39,5,4,"#RahulGandhi की ज़रूरत नही पड़ेगी, #AkhileshYadav और #ShivpalYadav ही काफी हैं यूपी में बीजेपी को जितवाने के लिए https:// twitter.com/DigitalGirish/ status/814547893097000960 …",,,#RahulGandhi #AkhileshYadav #ShivpalYadav,8.14549041245667E+017,https://twitter.com/DrBZaman/status/814549041245667328,,
DigitalGirish,2016-12-30 00:35,1,3,Akhilesh Yadav और #RahulGandhi मिलकर चुनाव जिताएंगे बीजेपी को यूपी में #UPElections2017,,,#RahulGandhi #UPElections2017,8.14547893097001E+017,https://twitter.com/DigitalGirish/status/814547893097000960,,
Chemburstudio,2016-12-30 00:35,4,6,Beautiful piece by @NamdevAnjana on #RahulGandhi Read it to know him better https://www. facebook.com/namdev.anjana/ posts/1322732567779093 …,,@NamdevAnjana,#RahulGandhi,8.14547888625709E+017,https://twitter.com/Chemburstudio/status/814547888625709056,,
agjoshi1,2016-12-30 00:32,0,1,Rahul Gandhi top 13 stupid speech Must Watch! https:// youtu.be/NY_Om8HkIlY via @YouTube,,@YouTube,,8.14547209144385E+017,https://twitter.com/agjoshi1/status/814547209144385536,,
ii_newsdesk,2016-12-30 00:31,0,0,"#politics Rahul Gandhi to reach Amethi today, steps up battle against Modi government over food park",,,#politics,8.14546856915173E+017,https://twitter.com/ii_newsdesk/status/814546856915173377,,
ii_newsdesk,2016-12-30 00:30,0,0,"#politics PM has the right to travel abroad but it's his duty to visit farmers first, says Rahul Gandhi",,,#politics,8.14546756667146E+017,https://twitter.com/ii_newsdesk/status/814546756667146244,,
SpecialCorrespo,2016-12-30 00:28,0,0,splco.me - Special Correspondent - Five Questions Rahul Gandhi pose to Narendra Modi https:// shar.es/1DesoY via @splco,,@splco,,8.14546167153377E+017,https://twitter.com/SpecialCorrespo/status/814546167153377280,,
BeVoterNotFan,2016-12-30 00:27,0,0,@samirockz37 @singh_biswajeet i my view congress is worst party Rahul Gandhi is dumbest politician even Sambit patra makes more sense,,@samirockz37 @singh_biswajeet,,8.14545988430004E+017,https://twitter.com/BeVoterNotFan/status/814545988430004224,,
jpunjha,2016-12-30 00:27,1,0,"Rahul Gandhi offering Pooja at Shree Umiya Mataji Temple Unjha, Gujarat. https:// youtu.be/3J3ZVZ0JIXk via @YouTube",,@YouTube,,8.1454586174525E+017,https://twitter.com/jpunjha/status/814545861745250305,,
SpecialCorrespo,2016-12-30 00:26,0,0,splco.me - Special Correspondent - Five Questions Rahul Gandhi pose to Narendra Modi http:// fb.me/2ToKsK831,,,,8.14545556018082E+017,https://twitter.com/SpecialCorrespo/status/814545556018081792,,
ShaileshWanjari,2016-12-30 00:25,0,0,@sanjaynirupam @OfficeOfRG sanjay nurupam . Tu sabse bada chor hai. Rahul gandhi chor hai,,@sanjaynirupam @OfficeOfRG,,8.14545292586422E+017,https://twitter.com/ShaileshWanjari/status/814545292586422272,,
iNeelesh,2016-12-30 00:21,8,3,Do we really need to take Rahul Gandhi seriously. #RGDemands #आप_की_औकात #Rohan,,,#RGDemands # #Rohan,8.14544413380772E+017,https://twitter.com/iNeelesh/status/814544413380771844,,
Shekhar46658527,2016-12-30 00:21,0,0,Politicians who r against #Demonitization say what step they taken for the people of their constituency. #RahulGandhi #Mamtabenerjee,,,#Demonitization #RahulGandhi #Mamtabenerjee,8.14544362344325E+017,https://twitter.com/Shekhar46658527/status/814544362344325120,,
NetCatNews,2016-12-30 00:18,0,0,"#news #summary : #bjp mp #subramanian #swamy takes on #rahul #gandhi for #sahara 'link' : #mail #today , ne pic.twitter.com/mUYDruPMba",,,#news #summary #bjp #subramanian #swamy #rahul #gandhi #sahara #mail #today,8.14543523521397E+017,https://twitter.com/NetCatNews/status/814543523521396736,,
RAMKISHORESING2,2016-12-30 00:17,0,0,"@MamataOfficial Whether you are waiting for @ArvindKejriwal , Rahul Gandhi , to waste your crocodile tears, HINDUS of WB will give u lesson.",,@MamataOfficial @ArvindKejriwal,,8.14543375093223E+017,https://twitter.com/RAMKISHORESING2/status/814543375093223424,,
confess2gaurav,2016-12-30 00:15,1,1,"Mitesh Patel was partying with Rahul Gandhi last night, good grass I guess !! https:// twitter.com/priyankac19/st atus/814457074847543296 …",,,,8.14542836645306E+017,https://twitter.com/confess2gaurav/status/814542836645306368,,
RastaCaata,2016-12-30 00:13,1,1,HDFC just announced their new brand ambassador.... Rahul Gandhi . @FrustIndian @IndiaSpeaksPR @HDFCLIFE #DontBeAPappu #BJP #Modi,,@FrustIndian @IndiaSpeaksPR @HDFCLIFE,#DontBeAPappu #BJP #Modi,8.14542486953562E+017,https://twitter.com/RastaCaata/status/814542486953562112,,
jimmyJonas12,2016-12-30 00:12,0,0,@MhaskarChief @chetan_bhagat I prefer Rahul gandhi speeches over chetans boaring stuff any day.,,@MhaskarChief @chetan_bhagat,,8.14542115694789E+017,https://twitter.com/jimmyJonas12/status/814542115694788608,,
bhuvnesh__,2016-12-30 00:09,3,3,Rahul Gandhi is the future of India #TransformingIndia @amitojmatta7447 @AkshaychAc @Tarunsharma_3 @narendramodi @katyperry,,@amitojmatta7447 @AkshaychAc @Tarunsharma_3 @narendramodi @katyperry,#TransformingIndia,8.14541408203899E+017,https://twitter.com/bhuvnesh__/status/814541408203898881,,
rajeshtewari,2016-12-30 00:09,0,1,@cricketwallah @IndianExpress तो क्या सारी बेवक़ूफ़ीयों का ठेका congress और rahul gandhi ने लेकर रखा है,,@cricketwallah @IndianExpress,,8.14541295465144E+017,https://twitter.com/rajeshtewari/status/814541295465144324,,
SirRohitSharma_,2016-12-30 00:06,2,2,Haan Rahul Gandhi ..Tumhare Baap Ka Raaj Hai jo aadhi kr de. Aur Jb Raaj Tha Tb kaahe nai Kr Diya? #RGDemands #आप_की_औकात pic.twitter.com/77Dvf1TrPW,,,#RGDemands #,8.14540709009232E+017,https://twitter.com/SirRohitSharma_/status/814540709009231872,,
_shriraj,2016-12-29 23:58,8,3,Rahul Gandhi puts forward charter of 5 demands on DeMoNetisation #DeMonetisationCircus #RGDemands #AjaModiChowkPe #DeMonetisationDisaster pic.twitter.com/SQ9QPdoT3q,,,#DeMonetisationCircus #RGDemands #AjaModiChowkPe #DeMonetisationDisaster,8.14538636074959E+017,https://twitter.com/_shriraj/status/814538636074958849,,
prafulkr,2016-12-29 23:57,0,0,"Retweeted Pankaj Jangid ( @Jangid ): Ex Congress leader Ghufran-e-Azam said this about Rahul Gandhi . After this,... http:// fb.me/11h8inwlK",,@Jangid,,8.14538404398514E+017,https://twitter.com/prafulkr/status/814538404398514176,,
confess2gaurav,2016-12-29 23:56,1,1,"Same #ChandigarhMCElection voted OVERWHELMINGLY for Modi 19 seats out of 24 , just a week back. Another gem from Rahul Gandhi team https:// twitter.com/priyankac19/st atus/814440203024797696 …",,,#ChandigarhMCElection,8.14538084276572E+017,https://twitter.com/confess2gaurav/status/814538084276572160,,
srihari923,2016-12-29 23:56,0,1,if man ki baath. becomes legislation today what happens when a rahul Gandhi or a lalu or deve gowda becomes next pm ?,,,,8.14537993964941E+017,https://twitter.com/srihari923/status/814537993964941312,,
mayursejpal,2016-12-29 23:55,0,3,If you would get one Chance to spent whole day with Rahul Gandhi thn What would You do with him? #NamoBestPMOfIndia #आप_की_औकात #RGDemands,,,#NamoBestPMOfIndia # #RGDemands,8.1453781459968E+017,https://twitter.com/mayursejpal/status/814537814599680000,,
opvyas11,2016-12-29 23:52,2,1,Rahul Gandhi Demands Answer the following Else quit modi Quit #RGDemands pic.twitter.com/jVN5Lli7jm,,,#RGDemands,8.14537014943031E+017,https://twitter.com/opvyas11/status/814537014943031297,,
humanbeingindia,2016-12-29 23:50,0,0,Rahul gandhi have potenail to be good leader as he has to be aggressive .,,,,8.1453658571044E+017,https://twitter.com/humanbeingindia/status/814536585710440448,,
KrishanuChakr17,2016-12-29 23:44,0,1,@priyankac19 ji Sabhya bhasha aur gandhagi me utna bada antar hai jitna antar #Modi_Ji aur #RahulGandhi ( Pappu ) me hai. @Anil_Aarush,,@priyankac19 @Anil_Aarush,#Modi_Ji #RahulGandhi,8.14535056773378E+017,https://twitter.com/KrishanuChakr17/status/814535056773378048,,
DrBMSharma,2016-12-29 23:41,0,0,@LaraibNeyazi Rahul Gandhi should interview : a labour on what value a labour signs and actually how much he gets; is there a Exploitation?,,@LaraibNeyazi,,8.14534255447405E+017,https://twitter.com/DrBMSharma/status/814534255447404544,,
ajaydutta1501,2016-12-29 23:40,0,0,Sonia Gandhi bhi Rahul Gandhi ko serious Nahi leti hai,,,,8.14533947375776E+017,https://twitter.com/ajaydutta1501/status/814533947375775744,,
Iam_AJain,2016-12-29 23:39,0,1,@SirJadeja @narendramodi ye No bolne wale log shayad Rahul Gandhi ko PM banana chahte h #NamoBestPMOfIndia,,@SirJadeja @narendramodi,#NamoBestPMOfIndia,8.14533823987786E+017,https://twitter.com/Iam_AJain/status/814533823987785728,,
satpalsharmaavp,2016-12-29 23:36,0,0,@AbhiPics @RahulGandhi _G @SAMSTWEE pic.twitter.com/8nrH1lmciQ,,@AbhiPics @RahulGandhi @SAMSTWEE,,8.14533025455227E+017,https://twitter.com/satpalsharmaavp/status/814533025455226880,,
LKstates,2016-12-29 23:36,0,0,#RahulGandhi is such a disappointment that even he was thrown in a barrel of nipples he would still come out sucking his own thumb! #Fail,,,#RahulGandhi #Fail,8.14532952507892E+017,https://twitter.com/LKstates/status/814532952507891712,,
satpalsharmaavp,2016-12-29 23:35,0,0,@AbhiPics @RahulGandhi _G @SAMSTWEE pic.twitter.com/xM4l5IqRKx,,@AbhiPics @RahulGandhi @SAMSTWEE,,8.14532743413412E+017,https://twitter.com/satpalsharmaavp/status/814532743413411840,,
OnlyNews24x7,2016-12-29 23:35,0,0,Narendra Modi Mimcri of Rahul Gandhi : http:// youtu.be/dTKxjL-hmjU?a via @YouTube,,@YouTube,,8.14532720533602E+017,https://twitter.com/OnlyNews24x7/status/814532720533602304,,
